manufacturer;model;wikidata;source;Type;Case;Mass;Diameter;Height;Thickness;Width;NominalVoltage;NominalCapacity;LowerVoltageLimit;UpperVoltageLimit;MaximumChargeCurrent;MaximumDischargeCurrent
Panasonic;CTL1616F;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/CTL1616F;LithiumIonBattery;;;16;1,6;;;2,3;;;;;
Panasonic;CTL621F;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/CTL621F;LithiumIonBattery;;;6,8;2,1;;;2,3;;;;;
Panasonic;CTL920F;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/CTL920F;LithiumIonBattery;;;9,5;2;;;2,3;;;;;
Panasonic;ML2020;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/ML2020;LithiumIonBattery;;;20;2;;;3;;;;;
Panasonic;MT516F;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/MT516F;LithiumIonBattery;;;5,8;1,6;;;1,5;;;;;
Panasonic;MT621;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/MT621;LithiumIonBattery;;;6,8;2,1;;;1,5;;;;;
Panasonic;MT920;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/MT920;LithiumIonBattery;;;9,5;2;;;1,5;;;;;
Panasonic;VL1220;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/VL1220;LithiumIonBattery;;;12,5;2;;;3;;;;;
Panasonic;VL2020;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/VL2020;LithiumIonBattery;;;20;2;;;3;;;;;
Panasonic;VL2330;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/VL2330;LithiumIonBattery;;;23;3;;;3;;;;;
Panasonic;VL3032;;https://industrial.panasonic.com/ww/products/pt/coin_rechargeable_lithium/models/VL3032;LithiumIonBattery;;;30;3,2;;;3;;;;;
Panasonic;CG-320B;;https://industrial.panasonic.com/ww/products/pt/pin-li-ion/models/CG-320B;LithiumIonBattery;;0,02;16;3,65;;;4,35;0,0038;;;;
Panasonic;CG-420A;;https://industrial.panasonic.com/ww/products/pt/pin-li-ion/models/CG-420A;LithiumIonBattery;;0,02;23;4,7;;;4,35;0,0038;;;;
Panasonic;CG-420B;;https://industrial.panasonic.com/ww/products/pt/pin-li-ion/models/CG-420B;LithiumIonBattery;;0,02;29;4,7;;;4,35;0,0038;;;;
Panasonic;CG-425A;;https://industrial.panasonic.com/ww/products/pt/pin-li-ion/models/CG-425A;LithiumIonBattery;;0,025;32;4,7;;;4,35;0,0038;;;;
LG Chem;JP3;;https://www.mvcommission.org/sites/default/files/docs/LGCHEM%20JP3%20Lithium-Ion%20Polymer%20Battery%20MSDS.pdf;;;;;;;;;;;;;
LG Chem;JP4;;;;;;;;;;;;;;;
LG Chem;JH3;;https://lghomebatteryblog.eu/wp-content/uploads/JH3-Cell_SDS_LGChem_for_RESU-Gen2-Products_R1.5-1.pdf;;;;;;;;;;;;;
LG Chem;JH4;;;;;;;;;;;;;;;
